Column1;Column2;Column3
SW[1.000000] HW[1.100000] Date[1970-01-01 00:00:00];;
Timestamp; FSR1; FSR2
10711;950;1
10715;942;3
10718;943;3
10722;942;3
10726;942;2
10729;941;3
10733;940;3
10737;939;4
10740;938;3
10744;940;1
10748;939;3
10751;939;2
10755;937;1
10759;938;4
10762;937;5
10766;936;2
10770;936;2
10773;936;4
10777;928;3
10780;936;3
10784;935;5
10788;928;2
10791;927;3
10795;934;2
10799;926;3
10802;927;3
10806;926;4
10810;926;3
10813;925;2
10817;924;4
10821;923;2
10824;924;2
10828;924;3
10831;923;3
10835;923;1
10839;923;3
10842;923;3
10846;920;3
10850;922;1
10853;922;2
10857;921;2
10861;921;3
10864;922;2
10868;921;2
10872;921;2
10875;922;1
10879;920;2
10883;920;3
10886;921;3
10890;919;3
10893;920;4
10897;921;4
10901;921;2
10904;919;3
10908;921;2
10912;920;3
10915;921;4
10919;920;3
10923;920;3
10926;919;3
10930;920;2
10934;920;2
10937;919;2
10941;920;3
10944;920;2
10948;920;2
10952;911;2
10955;918;5
10959;918;4
10963;911;2
10966;910;2
10970;912;3
10974;911;3
10977;911;3
10981;909;4
10985;910;2
10988;910;3
10992;911;3
10996;911;2
10999;909;2
11003;909;3
11006;909;3
11010;909;4
11014;909;2
11017;910;2
11021;910;2
11025;909;2
11028;909;3
11032;909;3
11036;908;3
11039;908;3
11043;908;4
11047;908;4
11050;909;2
11054;909;2
11057;906;3
11061;906;3
11065;907;4
11068;907;2
11072;908;2
11076;908;3
11079;907;3
11083;908;4
11087;906;2
11090;907;3
11094;906;2
11098;907;2
11101;906;2
11105;907;3
11109;908;2
11112;908;3
11116;906;4
11119;907;1
11123;906;4
11127;906;3
11130;906;3
11134;905;1
11138;907;3
11141;905;2
11145;905;3
11149;906;1
11152;905;3
11156;906;3
11160;906;3
11163;905;3
11167;907;4
11171;905;2
11174;907;2
11178;905;3
11181;906;3
11185;905;4
11189;906;1
11192;906;3
11196;904;5
11200;905;2
11203;905;3
11207;905;3
11211;905;3
11214;905;2
11218;905;1
11222;905;3
11225;905;3
11229;906;2
11232;906;3
11236;907;3
11240;905;6
11243;903;8
11247;896;22
11251;889;56
11254;841;218
11258;840;445
11262;872;1102
11265;894;1756
11269;920;2136
11273;926;2376
11276;937;2551
11280;941;2702
11284;942;2815
11287;952;2910
11291;952;2990
11294;954;3068
11298;957;3150
11302;958;3229
11305;966;3308
11309;968;3382
11313;971;3454
11316;972;3529
11320;974;3579
11324;974;3626
11327;975;3674
11331;974;3708
11335;973;3741
11338;972;3768
11342;972;3791
11345;971;3817
11349;976;3834
11353;984;3853
11356;987;3880
11360;989;3886
11364;1000;3897
11367;1005;3914
11371;1017;3920
11375;1022;3931
11378;1023;3945
11382;1037;3962
11386;1039;3965
11389;1049;3977
11393;1053;3982
11397;1065;3990
11400;1067;3995
11404;1079;4007
11407;1082;4012
11411;1087;4024
11415;1096;4028
11418;1099;4030
11422;1101;4032
11426;1112;4041
11429;1115;4042
11433;1118;4044
11437;1129;4046
